ucod,nombre,cod_depto,fis,clima,pend,cons_amb,inund,cn,rodadura
R20_PT10_01,Hornillos - Las Carreras,PT,4.1,3.8,2.3,3.2,2.2,2.9,4
R21_PT06_01,Uyuni - Atocha,PT,4.2,3.4,2,2.4,1.1,3.1,1
R21_PT06_02,Atocha - Salo,PT,4.1,4,2.1,3.1,2,3,1
R21_PT06_03,Salo - Tupiza,PT,3.6,4,2.5,3.9,2.3,2.7,3
R22_SC08_01,Mataral - Vallegrande,SC,4.2,4,2.4,3.6,3.2,3.1,1
R22_SC08_02,Vallegrande - Guadalupe,SC,4.4,3.7,2.3,3.5,3.4,2.6,1
R22_SC06_03,Guadalupe - Masicuri,SC,4.6,3.8,2.7,3.8,3,2.8,4
R22_SC06_04,Masicuri - Ipita,SC,3.9,3.7,2.3,3.2,3,2.7,4
R23_CO02_01,Paracaya - Cruce Vacas,CO,3.3,4,2.3,4.1,3,1.8,1
R23_CO02_02,Cruce Vacas - Mizque,CO,4.6,4,2.6,4.2,3,2.9,1
R23_CO02_03,Mizque - Aiquile,CO,4.4,4,2.4,3.4,3,2.6,1
R24_BN04_01,San Ignacio De Moxos - Monte Grande Del Apere,BN,5,2,2,2,3,1,4
R24_CO05_02,San Antonio - Isinuta,CO,3.1,3,2,3.1,3.2,2.1,4
R24_CO05_03,Isinuta - Villa Tunari,CO,3.4,3,2,3.5,3,2.9,1
R25_LP08_01,Unduavi - La Florida,LP,4.4,3.9,3.7,4.3,3,2.5,4
R25_LP08_02,La Florida - Santa Rosa De Lima,LP,4.7,2.8,3.6,4.6,3,2.1,1
R25_LP08_03,Santa Rosa De Lima - Com. Puente Villa,LP,4.5,2.2,3.5,4.6,3,2.1,4
R25_LP08_04,Com. Puente Villa - Chulumani,LP,4.3,2,3.2,4.6,3,2,4
R25_LP08_05,Chulumani - Irupana,LP,4,2.2,3,4.5,3,2,4
R25_LP08_06,Irupana - Cañamina,LP,4.1,2.3,3.4,4.2,3,2,4
R25_LP08_07,Cañamina - Puente Sacambaya,LP,4.4,3.7,3.3,4.4,3,2,4
R25_CO09_08,Puente Sacambaya - Independencia,CO,5,3.1,3.3,4.4,3,2,4
R25_CO09_09,Independencia - Kiri Kiri,CO,4.9,3,3.2,4.5,3,2.1,4
R25_CO09_10,Kiri Kiri - Vinto,CO,4.2,4,2.9,4.2,3,2.7,4
R26_LP07_01,Caranavi - Guanay,LP,4.1,2,2.9,4.7,3,2.1,4
R26_LP07_02,Guanay - Mapiri,LP,4,2,2.4,4.4,3,2.3,4
R26_LP07_03,Mapiri - Cruce Apolo,LP,3.5,2,2.3,3.8,3,2.1,4
R30_PT04_01,Uyuni - Thola Palca,PT,4.7,2.9,2,2.2,1,3.1,1
R30_PT04_02,Thola Palca - Huancarani,PT,4.7,4,2,2.4,1.2,3.9,1
R30_PT04_03,Huancarani - Condo K,PT,4,4,2,2.3,1.1,3,1
R30_PT02_04,Condo K - Challapata,PT,4.2,4,2.3,2.9,1.1,3,1
R31_OR02_01,Curahuara De Carangas - San Pedro De Totora,OR,2.9,4,2,3.4,1,4,1
R31_OR02_02,San Pedro De Totora - Huayllamarca,OR,3.7,4,2.1,3.4,1,3.9,4
R31_OR02_03,Huayllamarca - Chuquichambi,OR,4.3,4,2.1,3.7,1,3.3,1
R31_OR02_04,Chuquichambi - La Joya,OR,4.1,4,2,2.5,1.4,3,4
R31_OR02_05,La Joya - Oruro Circunvalación,OR,3.8,4,2.1,2.4,1.4,3.3,1
R34_SC09C_01,San José De Chiquitos - Palmar De Las Islas,SC,4.5,2.4,2,1.9,2.6,1.3,5
R35_SC11-A_01,Yapacani - La Enconada,SC,5,3,2,2.3,3.1,2.6,1
R35_SC11-A_02,La Enconada - Loma Alta,SC,4.7,2.5,2,2.5,3,2,4
R35_SC11-A_03,Loma Alta - Sagrado Corazon,SC,5,2,2,2.4,3.1,2.1,4
R36_SC03_01,Abapó - San Isidro Del Espino,SC,3.2,3.9,2,2.7,3,2,1
R36_SC04_02,San Isidro Del Espino - Charagua,SC,3.2,3.8,2.2,3.5,3,2.9,3
R36_SC04_03,Charagua - Boyuibe,SC,3.7,4,2,2.9,2.6,3,3
R37_SC11-A_01,Mineros - Loma Alta,SC,5,2,2,2.4,3,2.2,4
R38_SC06_01,Guadalupe - Santa Rosa,SC,3.9,4,2.9,3.9,3,3,4
R39_SC03S_01,Cuatro Cañadas - Salinas,SC,5,2,2,2.2,3.1,1.1,4
