tf,strats,dir,dir_correct,median
1D,,NEUTRAL,0,1
1D,PED,NEUTRAL,0,1
1D,PED,NEUTRAL,0,1
1D,PED|SUPER,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,0
1D,PED,BEARISH,1,1
1D,,BEARISH,1,1
1D,,BULLISH,1,0
1D,,NEUTRAL,0,1
1D,SUPER,NEUTRAL,0,1
1D,PED|S20,BEARISH,0,0
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,0,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
1D,,NEUTRAL,1,1
