,model,season,region_id,source,term,value
1595,MPI-ESM1-2-LR,DJF,27,conversion,uncalibrated change,-0.015688492577249337
1596,MPI-ESM1-2-LR,DJF,27,dynamical,bias,-0.008276293288713075
1597,MPI-ESM1-2-LR,DJF,27,dynamical,change,-0.005800156136597316
1598,MPI-ESM1-2-LR,DJF,27,dynamical,uncalibrated change,-0.008182429646486813
1599,MPI-ESM1-2-LR,DJF,27,nonlinear,bias,-0.0037193401885533784
1600,MPI-ESM1-2-LR,DJF,27,nonlinear,change,0.001838205452732264
1601,MPI-ESM1-2-LR,DJF,27,nonlinear,uncalibrated change,0.0024979572033396297
1602,MPI-ESM1-2-LR,DJF,28,conversion,bias,-0.02034816278698804
1603,MPI-ESM1-2-LR,DJF,28,conversion,change,-0.008255961785487972
1604,MPI-ESM1-2-LR,DJF,28,conversion,uncalibrated change,-0.004583174809128707
1605,MPI-ESM1-2-LR,DJF,28,dynamical,bias,-0.0013839555052453257
1606,MPI-ESM1-2-LR,DJF,28,dynamical,change,-0.0068817133731321695
1607,MPI-ESM1-2-LR,DJF,28,dynamical,uncalibrated change,-0.004649397619315581
1608,MPI-ESM1-2-LR,DJF,28,nonlinear,bias,0.000702650995333752
1609,MPI-ESM1-2-LR,DJF,28,nonlinear,change,0.0010354242251033993
1610,MPI-ESM1-2-LR,DJF,28,nonlinear,uncalibrated change,0.0006759723491050781
1611,MPI-ESM1-2-LR,DJF,29,conversion,bias,-0.010413577230151181
1612,MPI-ESM1-2-LR,DJF,29,conversion,change,0.011586443563843288
1613,MPI-ESM1-2-LR,DJF,29,conversion,uncalibrated change,0.010727465069248513
1614,MPI-ESM1-2-LR,DJF,29,dynamical,bias,0.01281123858405718
1615,MPI-ESM1-2-LR,DJF,29,dynamical,change,-0.0043428234861269234
1616,MPI-ESM1-2-LR,DJF,29,dynamical,uncalibrated change,-0.0027373856861474858
1617,MPI-ESM1-2-LR,DJF,29,nonlinear,bias,-0.004897759013970846
1618,MPI-ESM1-2-LR,DJF,29,nonlinear,change,-0.0012717181582168346
1619,MPI-ESM1-2-LR,DJF,29,nonlinear,uncalibrated change,-0.0008163546221892301
1620,MPI-ESM1-2-LR,DJF,30,conversion,bias,-0.01376950452993616
1621,MPI-ESM1-2-LR,DJF,30,conversion,change,0.01946563172060315
1622,MPI-ESM1-2-LR,DJF,30,conversion,uncalibrated change,0.020290708459324628
1623,MPI-ESM1-2-LR,DJF,30,dynamical,bias,0.022896111124903744
1624,MPI-ESM1-2-LR,DJF,30,dynamical,change,-0.0035181778483512256
1625,MPI-ESM1-2-LR,DJF,30,dynamical,uncalibrated change,-0.0025112012004375895
1626,MPI-ESM1-2-LR,DJF,30,nonlinear,bias,-0.006952042484390343
1627,MPI-ESM1-2-LR,DJF,30,nonlinear,change,-0.0013297107434930705
1628,MPI-ESM1-2-LR,DJF,30,nonlinear,uncalibrated change,-0.000950244503634949
1629,MPI-ESM1-2-LR,DJF,31,conversion,bias,-0.021942576144647195
1630,MPI-ESM1-2-LR,DJF,31,conversion,change,0.005535543778686361
1631,MPI-ESM1-2-LR,DJF,31,conversion,uncalibrated change,0.00725520470856463
1632,MPI-ESM1-2-LR,DJF,31,dynamical,bias,0.051570695847760174
