# x_m,y_m,w_tr_right_m,w_tr_left_m
79.687,-454.859,4.68,4.62
77.384,-459.299,5.45,5.15
74.966,-463.677,5.29,4.91
72.678,-468.126,4.98,5.32
70.38,-472.568,5.16,4.94
68.135,-477.038,4.9,5.1
65.881,-481.504,5.43,5.17
63.609,-485.959,4.84,4.76
61.31,-490.4,4.42,4.98
59.039,-494.855,6.13,5.87
56.703,-499.283,5.87,5.93
54.311,-503.703,5.97,6.13
52.004,-508.207,5.83,5.37
49.679,-512.744,5.87,5.33
47.222,-517.259,5.5,5.5
44.685,-521.794,5.13,5.67
41.947,-526.284,5.67,5.53
38.965,-530.708,5.53,5.37
35.59,-534.941,5.88,5.72
31.87,-539.0,5.44,5.96
27.726,-542.765,5.35,5.55
23.169,-546.153,5.43,5.37
18.218,-548.988,5.3,5.3
13.057,-551.367,5.72,5.68
7.713,-553.208,5.79,5.71
2.261,-554.614,5.7,6.0
-3.275,-555.591,6.04,5.66
-8.873,-556.067,5.33,5.37
-14.489,-555.973,5.3,5.9
-20.092,-555.477,5.42,5.58
-25.631,-554.424,5.44,5.16
-31.04,-552.777,5.53,5.77
-36.284,-550.637,5.6,5.9
-41.283,-548.014,5.55,5.55
-45.939,-544.928,5.53,5.57
-50.221,-541.466,5.44,5.46
-54.25,-537.838,5.56,5.54
-57.864,-533.878,5.6,5.4
-61.198,-529.766,5.83,6.87
-64.215,-525.478,5.76,5.54
-66.957,-521.061,6.01,6.19
-69.427,-516.521,5.85,5.95
-71.887,-512.045,5.87,5.23
-74.23,-507.536,5.6,5.3
-76.608,-503.084,5.49,5.41
-79.028,-498.676,5.82,5.48
-81.449,-494.28,5.43,5.47
-83.845,-489.875,5.68,5.52
-86.275,-485.494,5.53,5.47
-88.659,-481.09,5.68,5.52
-91.056,-476.695,5.49,5.51
-93.307,-472.223,5.47,5.73
-95.798,-467.88,5.65,5.65
-98.245,-463.515,7.3,5.7
-100.683,-459.145,6.15,7.05
-103.082,-454.757,6.26,6.84
-105.583,-450.425,6.48,6.62
-107.923,-446.009,6.51,6.29
-110.253,-441.588,6.52,6.08
-112.608,-437.18,6.55,6.95
-115.315,-432.959,6.97,6.23
-117.923,-428.686,7.27,6.13
-120.66,-424.483,7.71,9.29
-123.465,-420.317,8.22,7.38
-126.372,-416.208,7.74,7.96
-128.589,-411.728,7.17,8.13
-130.934,-407.318,6.94,9.26
-133.127,-402.824,7.23,5.67
-135.299,-398.318,6.89,5.81
-137.389,-393.767,6.15,6.25
